"year","category","Number of people","Percentage"
"1945","Christianity Protestants","160,887,585","0.1001"
"1945","Christianity Roman Catholics","391,332,035","0.2434"
"1945","Christianity Eastern Orthodox","98,501,171","0.0613"
"1945","Christianity Anglican","36,955,033","0.023"
"1945","Christianity Others","13,674,466","0.0085"
"1945","Christianity Total","701,350,290","0.4362"
"1945","Judaism Orthodox","856,827","0.0005"
"1945","Judaism Conservatives","1,426,350","0.0009"
"1945","Judaism Reform","1,929,388","0.0012"
"1945","Judaism Others","7,796,835","0.0048"
"1945","Judaism Total","12,009,400","0.0075"
"1945","Islam Sunni","49,050,320","0.0305"
"1945","Islam Shi’a","19,436,742","0.0121"
"1945","Islam Ibadhi","0","0"
"1945","Islam Nation of Islam","0","0"
"1945","Islam Alawite","0","0"
"1945","Islam Ahmadiyya","0","0"
"1945","Islam Other","62,273,219","0.0387"
"1945","Islam Total","130,760,281","0.0813"
"1945","Buddhism Mahayana","0","0"
"1945","Buddhism Theravada","0","0"
"1945","Buddhism Other","116,237,936","0.0723"
"1945","Buddhism Total","116,237,936","0.0723"
"1945","Zoroastrian Total","12,710","0"
"1945","Hindu Total","5,389,197","0.0034"
"1945","Sikh Total","20,809","0"
"1945","Shinto Total","55,228,775","0.0343"
"1945","Baha’i Total","15,495","0"
"1945","Taoism Total","120,950","0.0001"
"1945","Confucianism Total","181","0"
"1945","Jain Total","0","0"
"1945","Syncretic Religions Total","428,660,117","0.2666"
"1945","Animist Religions Total","33,210,080","0.0207"
"1945","Non. Religious Total","153,486,530","0.0955"
"1945","Other Religions Total","9,856,926","0.0061"
"1945","Sum of Religion Adherents","1,636,502,751","1.012061071"
"1945","Total Population","1,617,000,000","0.718666667"
"1950","Christianity Protestants","133,301,043","0.06"
"1950","Christianity Roman Catholics","401,935,856","0.181"
"1950","Christianity Eastern Orthodox","106,610,911","0.048"
"1950","Christianity Anglican","38,307,544","0.0173"
"1950","Christianity Others","16,324,768","0.0074"
"1950","Christianity Total","696,480,122","0.3136"
"1950","Judaism Orthodox","2,204,231","0.001"
"1950","Judaism Conservatives","1,860,297","0.0008"
"1950","Judaism Reform","2,528,641","0.0011"
"1950","Judaism Others","7,105,125","0.0032"
"1950","Judaism Total","13,698,294","0.0062"
"1950","Islam Sunni","56,921,304","0.0256"
"1950","Islam Shi’a","20,944,082","0.0094"
