"year","country","category","Number of people","Percentage"
"1945","United States of America","Christianity Protestants","66069671","0.4722"
"1945","United States of America","Christianity Roman Catholics","38716742","0.2767"
"1945","United States of America","Christianity Eastern Orthodox","1121898","0.0080"
"1945","United States of America","Christianity Anglican","2400000","0.0172"
"1945","United States of America","Christianity Others","1956807","0.0140"
"1945","United States of America","Christianity Total","110265118","0.7880"
"1945","United States of America","Judaism Orthodox","821489","0.0059"
"1945","United States of America","Judaism Conservatives","1364508","0.0098"
"1945","United States of America","Judaism Reform","1902885","0.0136"
"1945","United States of America","Judaism Others","552300","0.0039"
"1945","United States of America","Judaism Total","4641182","0.0332"
"1945","United States of America","Islam Sunni","0","0.0000"
"1945","United States of America","Islam Shi’a","0","0.0000"
"1945","United States of America","Islam Ibadhi","0","0.0000"
"1945","United States of America","Islam Nation of Islam","0","0.0000"
"1945","United States of America","Islam Alawite","0","0.0000"
"1945","United States of America","Islam Ahmadiyya","0","0.0000"
"1945","United States of America","Islam Other","0","0.0000"
"1945","United States of America","Islam Total","0","0.0000"
"1945","United States of America","Buddhism Mahayana","0","0.0000"
"1945","United States of America","Buddhism Theravada","0","0.0000"
"1945","United States of America","Buddhism Other","1601218","0.0114"
"1945","United States of America","Buddhism Total","1601218","0.0114"
"1945","United States of America","Zoroastrian Total","0","0.0000"
"1945","United States of America","Hindu Total","0","0.0000"
"1945","United States of America","Sikh Total","0","0.0000"
"1945","United States of America","Shinto Total","0","0.0000"
"1945","United States of America","Baha’i Total","0","0.0000"
"1945","United States of America","Taoism Total","0","0.0000"
"1945","United States of America","Confucianism Total","0","0.0000"
"1945","United States of America","Jain Total","0","0.0000"
"1945","United States of America","Syncretic Religions Total","0","0.0000"
"1945","United States of America","Animist Religions Total","0","0.0000"
"1945","United States of America","Non. Religious Total","22874544","0.1635"
"1945","United States of America","Other Religions Total","545938","0.0039"
"1945","United States of America","Sum of Religion Adherents","139382062","0.9961"
"1945","United States of America","Total Population","139928000","1.0000"
"1950","United States of America","Christianity Protestants","73090083","0.4800"
"1950","United States of America","Christianity Roman Catholics","42635882","0.2800"
"1950","United States of America","Christianity Eastern Orthodox","3045420","0.0200"
"1950","United States of America","Christianity Anglican","3045420","0.0200"
"1950","United States of America","Christianity Others","1177214","0.0077"
"1950","United States of America","Christianity Total","122994019","0.8077"
"1950","United States of America","Judaism Orthodox","1078078","0.0071"
"1950","United States of America","Judaism Conservatives","1790706","0.0118"
"1950","United States of America","Judaism Reform","2497244","0.0164"
"1950","United States of America","Judaism Others","724809","0.0048"
"1950","United States of America","Judaism Total","6090837","0.0400"
"1950","United States of America","Islam Sunni","0","0.0000"
"1950","United States of America","Islam Shi’a","0","0.0000"
"1950","United States of America","Islam Ibadhi","0","0.0000"
"1950","United States of America","Islam Nation of Islam","0","0.0000"
"1950","United States of America","Islam Alawite","0","0.0000"
"1950","United States of America","Islam Ahmadiyya","0","0.0000"
"1950","United States of America","Islam Other","0","0.0000"
"1950","United States of America","Islam Total","0","0.0000"
"1950","United States of America","Buddhism Mahayana","0","0.0000"
"1950","United States of America","Buddhism Theravada","0","0.0000"
"1950","United States of America","Buddhism Other","0","0.0000"
"1950","United States of America","Buddhism Total","0","0.0000"
"1950","United States of America","Zoroastrian Total","0","0.0000"
"1950","United States of America","Hindu Total","0","0.0000"
"1950","United States of America","Sikh Total","0","0.0000"
"1950","United States of America","Shinto Total","0","0.0000"
"1950","United States of America","Baha’i Total","0","0.0000"
"1950","United States of America","Taoism Total","0","0.0000"
"1950","United States of America","Confucianism Total","0","0.0000"
"1950","United States of America","Jain Total","0","0.0000"
"1950","United States of America","Syncretic Religions Total","0","0.0000"
"1950","United States of America","Animist Religions Total","0","0.0000"
"1950","United States of America","Non. Religious Total","22568130","0.1482"
"1950","United States of America","Other Religions Total","618022","0.0041"
"1950","United States of America","Sum of Religion Adherents","151652986","0.9959"
"1950","United States of America","Total Population","152271008","1.0000"
"1955","United States of America","Christianity Protestants","79294628","0.4779"
"1955","United States of America","Christianity Roman Catholics","46402368","0.2796"
"1955","United States of America","Christianity Eastern Orthodox","3454916","0.0208"
"1955","United States of America","Christianity Anglican","2572767","0.0155"
"1955","United States of America","Christianity Others","2277091","0.0137"
"1955","United States of America","Christianity Total","134001770","0.8076"
"1955","United States of America","Judaism Orthodox","944000","0.0057"
"1955","United States of America","Judaism Conservatives","1568000","0.0094"
"1955","United States of America","Judaism Reform","2186666","0.0132"
"1955","United States of America","Judaism Others","634666","0.0038"
"1955","United States of America","Judaism Total","5333332","0.0321"
"1955","United States of America","Islam Sunni","0","0.0000"
"1955","United States of America","Islam Shi’a","0","0.0000"
"1955","United States of America","Islam Ibadhi","0","0.0000"
"1955","United States of America","Islam Nation of Islam","0","0.0000"
"1955","United States of America","Islam Alawite","0","0.0000"
"1955","United States of America","Islam Ahmadiyya","0","0.0000"
"1955","United States of America","Islam Other","0","0.0000"
"1955","United States of America","Islam Total","0","0.0000"
"1955","United States of America","Buddhism Mahayana","0","0.0000"
"1955","United States of America","Buddhism Theravada","0","0.0000"
"1955","United States of America","Buddhism Other","90173","0.0005"
"1955","United States of America","Buddhism Total","90173","0.0005"
"1955","United States of America","Zoroastrian Total","0","0.0000"
"1955","United States of America","Hindu Total","0","0.0000"
"1955","United States of America","Sikh Total","0","0.0000"
"1955","United States of America","Shinto Total","0","0.0000"
"1955","United States of America","Baha’i Total","0","0.0000"
"1955","United States of America","Taoism Total","0","0.0000"
"1955","United States of America","Confucianism Total","0","0.0000"
"1955","United States of America","Jain Total","0","0.0000"
"1955","United States of America","Syncretic Religions Total","0","0.0000"
"1955","United States of America","Animist Religions Total","0","0.0000"
"1955","United States of America","Non. Religious Total","23303540","0.1404"
"1955","United States of America","Other Religions Total","3202185","0.0193"
"1955","United States of America","Sum of Religion Adherents","162728815","0.9807"
"1955","United States of America","Total Population","165931000","0.9999"
"1960","United States of America","Christianity Protestants","90692928","0.5020"
"1960","United States of America","Christianity Roman Catholics","50587880","0.2800"
"1960","United States of America","Christianity Eastern Orthodox","3334535","0.0185"
"1960","United States of America","Christianity Anglican","2710065","0.0150"
"1960","United States of America","Christianity Others","2908939","0.0161"
"1960","United States of America","Christianity Total","150234347","0.8315"
"1960","United States of America","Judaism Orthodox","973500","0.0054"
"1960","United States of America","Judaism Conservatives","1617000","0.0089"
"1960","United States of America","Judaism Reform","2255000","0.0125"
"1960","United States of America","Judaism Others","654500","0.0036"
"1960","United States of America","Judaism Total","5500000","0.0304"
