"year","region","category","Number of people","Percentage"
"1945","Africa","Christianity Protestants","2,074,180","0.0713"
"1945","Africa","Christianity Roman Catholics","672,337","0.0231"
"1945","Africa","Christianity Eastern Orthodox","7,251,492","0.2494"
"1945","Africa","Christianity Anglican","419,457","0.0144"
"1945","Africa","Christianity Others","4,170,594","0.1435"
"1945","Africa","Christianity Total","14,588,060","0.5018"
"1945","Africa","Judaism Orthodox","0","0"
"1945","Africa","Judaism Conservatives","0","0"
"1945","Africa","Judaism Reform","0","0"
"1945","Africa","Judaism Others","80,487","0.0028"
"1945","Africa","Judaism Total","80,487","0.0028"
"1945","Africa","Islam Sunni","0","0"
"1945","Africa","Islam Shi’a","0","0"
"1945","Africa","Islam Ibadhi","0","0"
"1945","Africa","Islam Nation of Islam","0","0"
"1945","Africa","Islam Alawite","0","0"
"1945","Africa","Islam Ahmadiyya","0","0"
"1945","Africa","Islam Other","5,051,475","0.1738"
"1945","Africa","Islam Total","5,051,475","0.1738"
"1945","Africa","Buddhism Mahayana","0","0"
"1945","Africa","Buddhism Theravada","0","0"
"1945","Africa","Buddhism Other","53","0"
"1945","Africa","Buddhism Total","53","0"
"1945","Africa","Zoroastrian Total","0","0"
"1945","Africa","Hindu Total","137,290","0.0047"
"1945","Africa","Sikh Total","1,536","0.0001"
"1945","Africa","Shinto Total","0","0"
"1945","Africa","Baha’i Total","2,021","0.0001"
"1945","Africa","Taoism Total","0","0"
"1945","Africa","Confucianism Total","0","0"
"1945","Africa","Jain Total","0","0"
"1945","Africa","Syncretic Religions Total","831","0"
"1945","Africa","Animist Religions Total","9,162,018","0.3151"
"1945","Africa","Non. Religious Total","7,396","0.0003"
"1945","Africa","Other Religions Total","41,833","0.0014"
"1945","Africa","Sum of Religion Adherents","29,065,604","0.9997"
"1945","Africa","Total Population","29,073,000","1"
"1945","Africa","worldpop","1,617,000,000","0.018"
"1945","Asia","Christianity Protestants","2,407,144","0.0036"
"1945","Asia","Christianity Roman Catholics","2,222,908","0.0034"
"1945","Asia","Christianity Eastern Orthodox","181,928","0.0003"
"1945","Asia","Christianity Anglican","3,142,204","0.0047"
"1945","Asia","Christianity Others","1,964,907","0.003"
"1945","Asia","Christianity Total","9,919,091","0.015"
"1945","Asia","Judaism Orthodox","0","0"
"1945","Asia","Judaism Conservatives","0","0"
"1945","Asia","Judaism Reform","0","0"
"1945","Asia","Judaism Others","30,369","0"
"1945","Asia","Judaism Total","30,369","0"
"1945","Asia","Islam Sunni","7,451,998","0.0112"
"1945","Asia","Islam Shi’a","940,000","0.0014"
"1945","Asia","Islam Ibadhi","0","0"
"1945","Asia","Islam Nation of Islam","0","0"
"1945","Asia","Islam Alawite","0","0"
"1945","Asia","Islam Ahmadiyya","0","0"
"1945","Asia","Islam Other","27,868,347","0.042"
"1945","Asia","Islam Total","36,260,345","0.0547"
"1945","Asia","Buddhism Mahayana","0","0"
"1945","Asia","Buddhism Theravada","0","0"
"1945","Asia","Buddhism Other","113,681,431","0.1713"
"1945","Asia","Buddhism Total","113,681,431","0.1713"
"1945","Asia","Zoroastrian Total","2,710","0"
"1945","Asia","Hindu Total","5,230,216","0.0079"
"1945","Asia","Sikh Total","12,525","0"
"1945","Asia","Shinto Total","55,228,775","0.0832"
"1945","Asia","Baha’i Total","7,243","0"
"1945","Asia","Taoism Total","120,950","0.0002"
"1945","Asia","Confucianism Total","0","0"
"1945","Asia","Jain Total","0","0"
"1945","Asia","Syncretic Religions Total","423,153,390","0.6378"
"1945","Asia","Animist Religions Total","22,525,760","0.034"
"1945","Asia","Non. Religious Total","30,637,661","0.0462"
"1945","Asia","Other Religions Total","152,491","0.0002"
"1945","Asia","Sum of Religion Adherents","666,325,296","1.0043"
"1945","Asia","Total Population","663,450,000","1.0505"
"1945","Asia","worldpop","1,617,000,000","0.4103"
"1945","Europe","Christianity Protestants","83,145,512","0.1483"
"1945","Europe","Christianity Roman Catholics","216,041,422","0.3853"
"1945","Europe","Christianity Eastern Orthodox","86,503,645","0.1543"
"1945","Europe","Christianity Anglican","29,855,595","0.0532"
"1945","Europe","Christianity Others","5,361,826","0.0096"
"1945","Europe","Christianity Total","420,908,000","0.7506"
"1945","Europe","Judaism Orthodox","0","0"
"1945","Europe","Judaism Conservatives","0","0"
"1945","Europe","Judaism Reform","0","0"
"1945","Europe","Judaism Others","6,068,020","0.0108"
"1945","Europe","Judaism Total","6,068,020","0.0108"
"1945","Europe","Islam Sunni","0","0"
"1945","Europe","Islam Shi’a","0","0"
"1945","Europe","Islam Ibadhi","0","0"
"1945","Europe","Islam Nation of Islam","0","0"
"1945","Europe","Islam Alawite","0","0"
"1945","Europe","Islam Ahmadiyya","0","0"
"1945","Europe","Islam Other","29,353,397","0.0523"
"1945","Europe","Islam Total","29,353,397","0.0523"
"1945","Europe","Buddhism Mahayana","0","0"
"1945","Europe","Buddhism Theravada","0","0"
"1945","Europe","Buddhism Other","725,632","0.0013"
"1945","Europe","Buddhism Total","725,632","0.0013"
"1945","Europe","Zoroastrian Total","0","0"
"1945","Europe","Hindu Total","21,691","0"
"1945","Europe","Sikh Total","1,748","0"
"1945","Europe","Shinto Total","0","0"
"1945","Europe","Baha’i Total","6,231","0"
"1945","Europe","Taoism Total","0","0"
"1945","Europe","Confucianism Total","181","0"
"1945","Europe","Jain Total","0","0"
"1945","Europe","Syncretic Religions Total","5,896","0"
"1945","Europe","Animist Religions Total","1,294,177","0.0023"
"1945","Europe","Non. Religious Total","99,829,250","0.178"
"1945","Europe","Other Religions Total","2,535,777","0.0045"
"1945","Europe","Sum of Religion Adherents","460,920,750","0.822"
"1945","Europe","Total Population","560,750,000","1"
"1945","Europe","worldpop","1,617,000,000","0.3468"
"1945","Mideast","Christianity Protestants","87,174","0.0013"
"1945","Mideast","Christianity Roman Catholics","635,929","0.0098"
"1945","Mideast","Christianity Eastern Orthodox","3,180,260","0.0488"
"1945","Mideast","Christianity Anglican","0","0"
"1945","Mideast","Christianity Others","108,332","0.0017"
"1945","Mideast","Christianity Total","4,011,695","0.0615"
"1945","Mideast","Judaism Orthodox","0","0"
"1945","Mideast","Judaism Conservatives","0","0"
"1945","Mideast","Judaism Reform","0","0"
"1945","Mideast","Judaism Others","623,240","0.0096"
"1945","Mideast","Judaism Total","623,240","0.0096"
"1945","Mideast","Islam Sunni","41,598,322","0.6378"
"1945","Mideast","Islam Shi’a","18,496,742","0.2836"
